filename	lines	domain	type	project	destination	confidence	ai_hint
Based on my thorough analysis of the Anthropic Agent Skills documentation….md	34	creative-studio|claude-mastery|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Based on my thorough analysis of the Anthropic Agent Skills documentation…
Based on the boss character descriptions within the documentation….md	5	creative-studio|life-systems	reference		40_knowledge/references/	HIGH	Based on the boss character descriptions within the documentation…
Based on this character description I've provided and the project….md	24	creative-studio|product-management	ai-prompt		40_knowledge/references/	HIGH	Based on this character description I've provided and the project…
Basic Mobile App SubAgents & MCPs.md	48	claude-mastery|design-team|product-management	project-material		40_knowledge/references/	HIGH	Basic Mobile App SubAgents & MCPs
Battle Flow Screens and SCREEN 5- Workout Tracker (Simulated….md	6	life-systems|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Battle Flow Screens and SCREEN 5: Workout Tracker (Simulated…
Be incredibly detailed in your output and explain everything so I….md	4	claude-mastery|life-systems	idea		00_inbox/	HIGH	Be incredibly detailed in your output and explain everything so I…
Below is a clean, end-to-end guide for building a native Slack notification….md	116	product-management	reference		40_knowledge/references/	MEDIUM	Below is a clean, end-to-end guide for building a native Slack notification…
Billy recs.md	10	unclassified	unknown		00_inbox/	LOW	Billy recs
Bit about douche bags on bachelor party wearing snuggies.md	3	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	Bit about douche bags on bachelor party wearing snuggies
Bit about things being predestined- How they started off simple, but….md	4	unclassified	unknown		00_inbox/	LOW	Bit about things being predestined. How they started off simple, but…
Bitwise Dogecoin ETF (BWOW) Live Price & Chart - The Block.md	7	product-management	unknown		40_knowledge/references/	MEDIUM	Bitwise Dogecoin ETF (BWOW) Live Price & Chart | The Block
Bitwise Sui ETF.md	9	product-management	unknown		40_knowledge/references/	MEDIUM	Bitwise Sui ETF
Block Gmail profile passkey.md	3	unclassified	unknown		00_inbox/	LOW	Block Gmail profile passkey
Blue color I like- #006DD3.md	234	life-systems|design-team|claude-mastery	code-snippet		40_knowledge/references/	HIGH	Blue color I like: #006DD3
Bobs burgers addition.md	5	life-systems	unknown		00_inbox/	MEDIUM	Bobs burgers addition
Born an only child in the suburbs of Staten Island, NY and raised….md	6	creative-studio	personal		60_archive/apple-notes-personal/	HIGH	Born an only child in the suburbs of Staten Island, NY and raised…
Boss Characters For personas-.md	25	creative-studio|life-systems	project-material		40_knowledge/references/	HIGH	Boss Characters For personas:
Boss logics info.md	16	product-management|life-systems	unknown		40_knowledge/references/	MEDIUM	Boss logics info
Bot Filtering (Most Likely).md	8	product-management	project-material		40_knowledge/references/	MEDIUM	Bot Filtering (Most Likely)
Both Tasks Completed Successfully!.md	24	creative-studio|life-systems	ai-session-output		60_archive/apple-notes-prompts/	MEDIUM	Both Tasks Completed Successfully!
Brand & Constraints Primer (16BitFit – Modern Retro).md	10	design-team|creative-studio|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Brand & Constraints Primer (16BitFit – Modern Retro)
Brand & Constraints Primer (paste at the top of every Magic message….md	39	design-team|life-systems|creative-studio	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Brand & Constraints Primer (paste at the top of every Magic message…
Brianna! How did you know I was here-.md	3	unclassified	unknown		00_inbox/	LOW	Brianna! How did you know I was here?
Bring to Jimmys.md	12	unclassified	list		50_sources/data/	MEDIUM	Bring to Jimmys
Bring to London-Paris.md	28	life-systems	list		50_sources/data/	MEDIUM	Bring to London/Paris
Buttons-.md	232	life-systems|design-team|claude-mastery	code-snippet		40_knowledge/references/	HIGH	Buttons:
CAMPING VIDEO SONG IDEAS for 2022.md	4	unclassified	unknown		00_inbox/	LOW	CAMPING VIDEO SONG IDEAS for 2022
CAMPUS UPGRADE IDEAS.md	112	life-systems|product-management|claude-mastery	project-material	campus-201	20_projects/prj-campus-201/	HIGH	CAMPUS UPGRADE IDEAS
CC CHECKLIST.md	34	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	CC CHECKLIST
CHANGES TO MAKE TO WEBSITE-.md	58	design-team|product-management|creative-studio	idea		00_inbox/	HIGH	CHANGES TO MAKE TO WEBSITE:
CHARACTER ANIMATOR NOTES.md	4	creative-studio	unknown		40_knowledge/references/	MEDIUM	CHARACTER ANIMATOR NOTES
CHARACTERS THAT ARE GOOD TO GO-.md	9	unclassified	unknown		00_inbox/	LOW	CHARACTERS THAT ARE GOOD TO GO:
CHAT GPT PRD.md	90	product-management|claude-mastery|life-systems	reference		40_knowledge/references/	HIGH	CHAT GPT PRD
CHAT GPT VEO 3 Testimonial Veo 3 Shots check out.md	183	creative-studio|product-management|claude-mastery	creative-writing	campus-201	20_projects/prj-campus-201/	HIGH	CHAT GPT VEO 3 Testimonial Veo 3 Shots check out
CHATGPT 5 FIGMA.md	23	creative-studio|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	CHATGPT 5 FIGMA
CLAUDES NEW CODE FOR HOMESCREEN APP INTERFACE.md	714	creative-studio|claude-mastery|life-systems	code-snippet	16bitfit	20_projects/prj-16bitfit/	HIGH	CLAUDES NEW CODE FOR HOMESCREEN APP INTERFACE
CLOSE UPS.md	22	unclassified	unknown		00_inbox/	LOW	CLOSE UPS
COMPREHENSIVE BUILD FAILURE DIAGNOSTIC REPORT.md	241	claude-mastery|creative-studio|life-systems	code-snippet	16bitfit	20_projects/prj-16bitfit/	HIGH	COMPREHENSIVE BUILD FAILURE DIAGNOSTIC REPORT
COMPREHENSIVE EXECUTION PROMPT CREATED!.md	206	claude-mastery|life-systems|creative-studio	project-material		40_knowledge/references/	HIGH	COMPREHENSIVE EXECUTION PROMPT CREATED!
COMPREHENSIVE RESEARCH REQUEST- Fellou-ai Analysis for Associate Product….md	69	product-management|life-systems|design-team	reference	campus-201	20_projects/prj-campus-201/	HIGH	COMPREHENSIVE RESEARCH REQUEST: Fellou.ai Analysis for Associate Product…
COMPREHENSIVE UI-UX SPECIALIST BRIEFING- MagicPath-ai & 21st-dev Integration….md	485	creative-studio|design-team|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	COMPREHENSIVE UI/UX SPECIALIST BRIEFING: MagicPath.ai & 21st.dev Integration…
CONTEXT-.md	5	product-management|life-systems	unknown	campus-201	20_projects/prj-campus-201/	MEDIUM	CONTEXT:
COVER LETTERS.md	16	life-systems|claude-mastery	project-material		40_knowledge/references/	HIGH	COVER LETTERS
CRITICAL SECURITY FINDINGS.md	122	claude-mastery|creative-studio	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	CRITICAL SECURITY FINDINGS
CUSTOMER SUCCESS INTERVIEW.md	20	life-systems|product-management|claude-mastery	reference		40_knowledge/references/	HIGH	CUSTOMER SUCCESS INTERVIEW
CUSTOMER SUCCESS SaaS Terms.md	6	life-systems	unknown		00_inbox/	MEDIUM	CUSTOMER SUCCESS SaaS Terms
CYCLIST.md	22	creative-studio|product-management	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	CYCLIST
Camera- Fixed side-view perspective, character centered.md	5	creative-studio	project-material		40_knowledge/references/	MEDIUM	Camera: Fixed side-view perspective, character centered
Campus Product Knowledge Base Builder.md	5	product-management	unknown	campus-201	20_projects/prj-campus-201/	MEDIUM	Campus Product Knowledge Base Builder
Campus Sponsored Courses MVP.md	153	product-management|life-systems	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Campus Sponsored Courses MVP
Campus notes.md	16	product-management|life-systems|claude-mastery	idea	campus-201	20_projects/prj-campus-201/	HIGH	Campus notes
Card - 4361206804679817.md	7	unclassified	unknown		00_inbox/	LOW	Card - 4361206804679817
Carly Agar NOTES.md	64	life-systems|product-management	project-material		40_knowledge/references/	HIGH	Carly Agar NOTES
Cartoon smart.md	3	creative-studio	reference		40_knowledge/references/	MEDIUM	Cartoon smart
Change the app UI to be modern and the inside 16bit on ChatGPT list….md	3	creative-studio|claude-mastery	list		50_sources/data/	HIGH	Change the app UI to be modern and the inside 16bit on ChatGPT list…
Chat GPT login.md	4	unclassified	unknown		00_inbox/	LOW	Chat GPT login
ChatGPT API - POCKET PM.md	118	life-systems|product-management|design-team	idea		00_inbox/	HIGH	ChatGPT API - POCKET PM
ChatGPT API -.md	116	product-management|design-team|claude-mastery	idea		00_inbox/	HIGH	ChatGPT API -
Chelsea Handler podcast.md	7	unclassified	unknown		00_inbox/	LOW	Chelsea Handler podcast
Christine Reding, Erika Maraboli, Samantha Chinn,.md	4	unclassified	unknown		00_inbox/	LOW	Christine Reding, Erika Maraboli, Samantha Chinn,
Chris’ Picks -.md	26	unclassified	unknown		00_inbox/	LOW	Chris’ Picks :
Chrome Devtools MCP.md	10	claude-mastery	unknown		40_knowledge/references/	MEDIUM	Chrome Devtools MCP
Cirilo McSween Bio for Mark Madgett.md	5	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	Cirilo McSween Bio for Mark Madgett
Classroom Footage.md	8	unclassified	unknown		00_inbox/	LOW	Classroom Footage
Claude Code beginning prompt before uploading Claude desktop prompt….md	9	creative-studio|claude-mastery	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	Claude Code beginning prompt before uploading Claude desktop prompt…
Claude Code list of tasks - 7-24-2025.md	82	claude-mastery|creative-studio	ai-session-output		60_archive/apple-notes-prompts/	HIGH	Claude Code list of tasks - 7/24/2025
Claude Opus 4-1 - Ultimate 16BitFit Synthesis & Implementation Brief.md	80	creative-studio|claude-mastery|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Claude Opus 4.1 - Ultimate 16BitFit Synthesis & Implementation Brief
Claude Skills Implementation Plan for 16BitFit V3.md	134	creative-studio|claude-mastery|design-team	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Claude Skills Implementation Plan for 16BitFit V3
Claude suggested n8n connections.md	68	claude-mastery|design-team	reference		40_knowledge/references/	MEDIUM	Claude suggested n8n connections
Cold and flu - tamiflu.md	5	unclassified	unknown		00_inbox/	LOW	Cold and flu - tamiflu
Complete Figma Make Prompt Library - DONE!.md	103	creative-studio|design-team|product-management	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Complete Figma Make Prompt Library - DONE!
Completed Close Code 16bit Phases.md	45	creative-studio|life-systems|claude-mastery	project-material		40_knowledge/references/	HIGH	Completed Close Code 16bit Phases
Completed-.md	6	unclassified	unknown		00_inbox/	LOW	Completed:
Comprehensive Claude Code Execution Prompt for Epic 2 Completion.md	551	creative-studio|claude-mastery|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Comprehensive Claude Code Execution Prompt for Epic 2 Completion
Comprehensive UI-UX Resources for 16BitFit Game Boy Mobile App-md….md	123	creative-studio|claude-mastery|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Comprehensive UI/UX Resources for 16BitFit Game Boy Mobile App.md…
Continuum Wall After Effects Template.md	5	creative-studio	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Continuum Wall After Effects Template
Conversations with Claude.md	11	claude-mastery|life-systems	reference		40_knowledge/references/	HIGH	Conversations with Claude
Copy and paste this into Google Deep Think BEFORE the main prompt….md	938	creative-studio|design-team|claude-mastery	code-snippet	16bitfit	20_projects/prj-16bitfit/	HIGH	Copy and paste this into Google Deep Think BEFORE the main prompt…
Copy projects over to PC and continue working by using this prompt….md	139	claude-mastery|life-systems	reference		40_knowledge/references/	HIGH	Copy projects over to PC and continue working by using this prompt…
Core Technical Architecture (MUST INCLUDE).md	34	creative-studio|claude-mastery|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Core Technical Architecture (MUST INCLUDE)
Costco.md	4	unclassified	unknown		00_inbox/	LOW	Costco
Council Buying list.md	7	unclassified	unknown		00_inbox/	LOW	Council Buying list
Cover Letter.md	7	life-systems	work-nyl		60_archive/apple-notes-nyl/	HIGH	Cover Letter
Create a 6-panel 3x3 horizontal storyboard in clean, cinematic Pixar….md	16	creative-studio|design-team	personal		60_archive/apple-notes-personal/	HIGH	Create a 6-panel 3x3 horizontal storyboard in clean, cinematic Pixar…
Create a 64×64 pixel character illustration of a dynamic runner for….md	56	creative-studio|product-management|design-team	ai-prompt		40_knowledge/references/	HIGH	Create a 64×64 pixel character illustration of a dynamic runner for…
Create a cryptocurrency price dashboard with-.md	10	product-management	ai-prompt		40_knowledge/references/	HIGH	Create a cryptocurrency price dashboard with:
Create a detailed concept for a retro arcade game based on the HubSpot….md	16	life-systems	idea		00_inbox/	HIGH	Create a detailed concept for a retro arcade game based on the HubSpot…
Create a landing page for a simple and clean website portfolio- I….md	3	product-management|creative-studio	ai-prompt		40_knowledge/references/	HIGH	Create a landing page for a simple and clean website portfolio. I…
Create a professional character reference sheet based strictly on….md	4	creative-studio|design-team	reference		40_knowledge/references/	HIGH	Create a professional character reference sheet based strictly on…
Create a single walk pose frame of the Street Fight 2 inspired character….md	4	creative-studio	ai-prompt		40_knowledge/references/	HIGH	Create a single walk pose frame of the Street Fight 2 inspired character…
Create a system prompt for Nano Banana pro saying it’s a sprite sheet….md	4	creative-studio|claude-mastery	ai-prompt		40_knowledge/references/	HIGH	Create a system prompt for Nano Banana pro saying it’s a sprite sheet…
Create an editorial cover image for a crypto news-data site with a….md	3	product-management	ai-prompt		40_knowledge/references/	HIGH	Create an editorial cover image for a crypto news/data site with a…
Create an illustrated image of a 30 year old man sitting at his desk….md	3	product-management	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	Create an illustrated image of a 30 year old man sitting at his desk…
Create the Battle System flow for --16BitFit---.md	41	life-systems|creative-studio	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	Create the Battle System flow for **16BitFit**.
Creatures of New York ideas.md	3	creative-studio	unknown		40_knowledge/references/	MEDIUM	Creatures of New York ideas
Crepes.md	4	unclassified	unknown		00_inbox/	LOW	Crepes
Custom GPT for image generation-.md	63	creative-studio|life-systems	code-snippet	16bitfit	20_projects/prj-16bitfit/	HIGH	Custom GPT for image generation:
Customer Success Resumes.md	28	life-systems|product-management	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Customer Success Resumes
Customer Success Stories.md	3	life-systems	unknown		00_inbox/	MEDIUM	Customer Success Stories
DALL-E 3 - GPT-IMAGE-1 PROMPTS FOR STORY 1-4 ASSETS.md	289	creative-studio|design-team|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	DALL-E 3 / GPT-IMAGE-1 PROMPTS FOR STORY 1.4 ASSETS
DATE                         CHARGED TO                         PRICE.md	17	unclassified	financial		50_sources/finance/	MEDIUM	DATE                         CHARGED TO                         PRICE
DELTETED From 5-25 -.md	3	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	DELTETED From 5/25 :
DESIGN CONSTRAINTS (MANDATORY)-.md	19	creative-studio|design-team	ai-prompt		40_knowledge/references/	HIGH	DESIGN CONSTRAINTS (MANDATORY):
DESIGN SYSTEM TOKENS-CSS Variables to use-.md	15	design-team	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	DESIGN SYSTEM TOKENS:CSS Variables to use:
DIMENSIONS FOR Characters.md	23	unclassified	unknown		00_inbox/	LOW	DIMENSIONS FOR Characters
DONE.md	11	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Dad B-Roll
DUB AND I ARE OUT OF THE PLAYOFFS VIDEO.md	7	unclassified	unknown		00_inbox/	LOW	DUB AND I ARE OUT OF THE PLAYOFFS VIDEO
Dark teal background- #002B33.md	7	product-management	reference	campus-201	20_projects/prj-campus-201/	HIGH	Dark teal background: #002B33
Daul questions.md	8	life-systems	list		50_sources/data/	MEDIUM	Daul questions
David Debreczeni.md	3	unclassified	unknown		00_inbox/	LOW	David Debreczeni
Dec 26th, 2025.md	28	product-management|life-systems	project-material	campus-201	20_projects/prj-campus-201/	HIGH	Dec 26th, 2025
Deep Research- “UI-UX psychology for a fitness + fighting-game hybrid….md	10	creative-studio|life-systems	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Deep Research: “UI/UX psychology for a fitness + fighting-game hybrid…
Delilah Jobs 250702.md	9	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Delilah Jobs 250702
Deliverables Created.md	68	claude-mastery|product-management	project-material	superuser-pack	20_projects/prj-superuser-pack/	HIGH	Deliverables Created
Demo access is having issues.md	4	unclassified	project-material		40_knowledge/references/	MEDIUM	Demo access is having issues
Design PHASE BREAKDOWN.md	120	creative-studio|design-team|claude-mastery	project-material		40_knowledge/references/	HIGH	Design PHASE BREAKDOWN
Design a mobile portrait welcome screen for a retro fitness game….md	28	creative-studio	ai-prompt	16bitfit	20_projects/prj-16bitfit/	HIGH	Design a mobile portrait welcome screen for a retro fitness game…
Destiny.md	4	life-systems	personal		60_archive/apple-notes-personal/	MEDIUM	Destiny
Diagnosis- -Pods → Research & Pod Master (Delete on Cancel)-.md	337	claude-mastery|product-management|life-systems	personal	superuser-pack	20_projects/prj-superuser-pack/	HIGH	"Diagnosis: ""Pods → Research & Pod Master (Delete on Cancel)"""
Did you watch the Jim Henson Doc on Disney Plus-.md	4	product-management	unknown		40_knowledge/references/	MEDIUM	Did you watch the Jim Henson Doc on Disney Plus?
Different fonts-.md	16	creative-studio|life-systems|product-management	idea		00_inbox/	HIGH	Different fonts:
Dimensions For Camera Placement.md	18	unclassified	unknown		00_inbox/	LOW	Dimensions For Camera Placement
Display ad Creatives - Label - New Data F9.md	18	unclassified	personal		60_archive/apple-notes-personal/	MEDIUM	Display ad Creatives - Label - New Data F9
Do similar market research for Campus that you’re doing for 16BitFit….md	27	product-management|creative-studio|life-systems	idea	campus-201	20_projects/prj-campus-201/	HIGH	Do similar market research for Campus that you’re doing for 16BitFit…
Docker Access Token.md	38	claude-mastery|life-systems	ai-session-output		60_archive/apple-notes-prompts/	HIGH	Docker Access Token
Don't change the app yet- Write a plan in plan-md for building the….md	207	creative-studio|life-systems|design-team	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Don't change the app yet. Write a plan in plan.md for building the…
Doritos or something similar.md	6	unclassified	unknown		00_inbox/	LOW	Doritos or something similar
Download.md	6	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Download
Draft a design ticket for giving the user the ability to cancel their….md	51	product-management|life-systems	personal	campus-201	20_projects/prj-campus-201/	HIGH	Draft a design ticket for giving the user the ability to cancel their…
Draw a 16-bit pixel art male character standing in a neutral idle….md	4	creative-studio|life-systems	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	Draw a 16-bit pixel art male character standing in a neutral idle…
Draw the same character from the reference image in the project files….md	25	creative-studio|life-systems|design-team	reference		40_knowledge/references/	HIGH	Draw the same character from the reference image in the project files…
Dribble -.md	3	unclassified	unknown		00_inbox/	LOW	Dribble -
Drug deal.md	3	unclassified	unknown		00_inbox/	LOW	Drug deal
EC day 3.md	3	unclassified	unknown		00_inbox/	LOW	EC day 3
EM AND PETE IDEA.md	5	unclassified	idea		00_inbox/	MEDIUM	EM AND PETE IDEA
EPIC 2- OPERATIONAL VALIDATION & PERFORMANCE - CLAUDE CODE EXECUTION….md	273	claude-mastery|creative-studio|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	EPIC 2: OPERATIONAL VALIDATION & PERFORMANCE - CLAUDE CODE EXECUTION…
EPIC 3 COMBAT SYSTEM INTEGRATION - COMPREHENSIVE EXECUTION PROMPT.md	559	creative-studio|claude-mastery|product-management	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	EPIC 3 COMBAT SYSTEM INTEGRATION - COMPREHENSIVE EXECUTION PROMPT
ERICA NOTES.md	169	life-systems	personal		60_archive/apple-notes-personal/	MEDIUM	ERICA NOTES
ETF SEO Slug And Meta Description Examples.md	31	product-management	idea		00_inbox/	MEDIUM	ETF SEO Slug And Meta Description Examples
EXPENSE RATIO.md	8	product-management	financial		50_sources/finance/	HIGH	EXPENSE RATIO
EXTERNAL_DRIVE_CHECKLIST-md.md	259	creative-studio|claude-mastery|life-systems	personal	16bitfit	20_projects/prj-16bitfit/	HIGH	EXTERNAL_DRIVE_CHECKLIST.md
EXTRA ARMS-.md	4	unclassified	unknown		00_inbox/	LOW	EXTRA ARMS:
Edit this photo and turn it into an authentic DMG Game Boy pixel art….md	22	creative-studio|life-systems|design-team	project-material		40_knowledge/references/	HIGH	Edit this photo and turn it into an authentic DMG Game Boy pixel art…
Edvinas Rupkus - Hiring Manager and The Brick.md	7	life-systems|creative-studio|product-management	unknown		00_inbox/	MEDIUM	Edvinas Rupkus - Hiring Manager and The Brick
Em rides through a forest on a deer- She’s running from a bear- She….md	12	unclassified	creative-writing		40_knowledge/concepts/	MEDIUM	Em rides through a forest on a deer. She’s running from a bear. She…
Emily.md	18	life-systems	unknown		00_inbox/	MEDIUM	1259 410
Epic LMS Prerequisite Schema & Module Taxonomy Container for all related….md	7	unclassified	project-material	campus-201	20_projects/prj-campus-201/	MEDIUM	Epic LMS Prerequisite Schema & Module Taxonomy Container for all related…
Epic PRD Updates - Complete Guide.md	216	creative-studio|claude-mastery|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Epic PRD Updates - Complete Guide
Essential NYL worker.md	8	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Essential NYL worker
Everything is Complete and Working!.md	28	creative-studio|claude-mastery|life-systems	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Everything is Complete and Working!
Everything looks beautiful! I have a few notes-.md	6	unclassified	unknown		00_inbox/	LOW	Everything looks beautiful! I have a few notes:
Explore, document and gather product requirements.md	30	product-management|life-systems	project-material		40_knowledge/references/	HIGH	Explore, document and gather product requirements
Expo Go Log In.md	9	claude-mastery|creative-studio|life-systems	work-nyl	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Expo Go Log In
Extra grocery.md	10	life-systems	unknown		00_inbox/	MEDIUM	Extra grocery
FAILED.md	5	unclassified	unknown		00_inbox/	LOW	FAILED
FIGHTER CHARACTER SPRITE.md	134	creative-studio|life-systems|design-team	ai-session-output		60_archive/apple-notes-prompts/	HIGH	FIGHTER CHARACTER SPRITE
FIGMA INFO.md	3	design-team	unknown		40_knowledge/references/	MEDIUM	FIGMA INFO
FIXED -MAKE A NOTE OF ALL THE FILES THAT HAVE ISSUES UPLOADING TO….md	6	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	FIXED :MAKE A NOTE OF ALL THE FILES THAT HAVE ISSUES UPLOADING TO…
FOR 8-15 Invoice.md	4	unclassified	financial		50_sources/finance/	MEDIUM	FOR 8-15 Invoice
FOR BI-WEEKLY UPDATES.md	11	product-management	unknown	campus-201	20_projects/prj-campus-201/	MEDIUM	FOR BI-WEEKLY UPDATES
FTUE NOTES.md	56	creative-studio|life-systems|product-management	ai-session-output		60_archive/apple-notes-prompts/	HIGH	FTUE NOTES
Fantasy.md	18	unclassified	unknown		00_inbox/	LOW	Fantasy
Farcaster - web3 tech - similar to twitter.md	4	life-systems	unknown		00_inbox/	MEDIUM	Farcaster - web3 tech - similar to twitter
FedEx Log In.md	4	unclassified	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	FedEx Log In
Fidelity - main issuer for Crypto ETF’s.md	10	product-management	ai-prompt		40_knowledge/references/	HIGH	Fidelity - main issuer for Crypto ETF’s
Figma Access Token.md	17	design-team|claude-mastery	unknown		40_knowledge/references/	MEDIUM	Figma Access Token
Final Draft.md	3	unclassified	unknown		00_inbox/	LOW	Final Draft
Find the tax return and print at nyl.md	3	life-systems	work-nyl		60_archive/apple-notes-nyl/	MEDIUM	Find the tax return and print at nyl
First Output.md	39	product-management|life-systems	reference		40_knowledge/references/	MEDIUM	First Output
Fix Al.md	4	unclassified	unknown		00_inbox/	LOW	Fix Al
Fix the GAM.md	3	unclassified	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	Fix the GAM
Fluid Blob Background.md	151	claude-mastery|life-systems	code-snippet		40_knowledge/references/	MEDIUM	Fluid Blob Background
Focus the Decision Matrix primarily on open-source - scriptable + API….md	8	creative-studio	reference		40_knowledge/references/	MEDIUM	Focus the Decision Matrix primarily on open-source / scriptable + API…
Follow this file path for this task -Users-seanwinslow-Desktop-16BitFit….md	130	creative-studio|claude-mastery|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	Follow this file path for this task /Users/seanwinslow/Desktop/16BitFit…
For Employee - Add layers to the photoshop puppet for the arms so….md	5	creative-studio|life-systems	personal		60_archive/apple-notes-personal/	HIGH	For Employee - Add layers to the photoshop puppet for the arms so…
For John’s Presentstion - bring into gamma.md	3	unclassified	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	For John’s Presentstion - bring into gamma
For Zapier Workflow.md	55	claude-mastery|product-management	project-material		40_knowledge/references/	HIGH	For Zapier Workflow
For apocalypse script-.md	10	unclassified	creative-writing		40_knowledge/concepts/	MEDIUM	For apocalypse script:
For the cartridge load, it’s only supposed to be a quick 2-3 second….md	1399	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	For the cartridge load, it’s only supposed to be a quick 2-3 second…
For the gamified fit tomacachi app - write out a script for what the….md	4	creative-studio|life-systems	ai-prompt		60_archive/apple-notes-prompts/	MEDIUM	For the gamified fit tomacachi app - write out a script for what the…
For the onboarding screen.md	13	life-systems	project-material		40_knowledge/references/	HIGH	For the onboarding screen
For the photo remover - it’s on ChatGPT- you should add fun sound….md	3	unclassified	unknown		00_inbox/	LOW	For the photo remover - it’s on ChatGPT. you should add fun sound…
Froggit - Additional Supporting Characters.md	4	life-systems	unknown		00_inbox/	MEDIUM	Froggit - Additional Supporting Characters
Froggit Scenes To Animate and Generate Images.md	36	creative-studio	idea		00_inbox/	MEDIUM	Froggit Scenes To Animate and Generate Images
Froggit’s vibe ain’t loud, it’s low- It’s deep-.md	52	product-management|creative-studio	creative-writing		40_knowledge/concepts/	MEDIUM	Froggit’s vibe ain’t loud, it’s low. It’s deep.
Full‑body — arms up- “Full‑body bodybuilder overhead reach (lat stretch….md	4	creative-studio	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Full‑body — arms up: “Full‑body bodybuilder overhead reach (lat stretch…
GABE’S PURPOSE EXTRA DIALOGUE.md	93	unclassified	creative-writing		40_knowledge/concepts/	MEDIUM	GABE’S PURPOSE EXTRA DIALOGUE
GAM Tracker.md	21	life-systems	financial		50_sources/finance/	MEDIUM	GAM Tracker
GAMIFIED APP DEVELOPER.md	91	product-management|life-systems|design-team	idea		00_inbox/	HIGH	GAMIFIED APP DEVELOPER
GERALD Close ups Clearer.md	12	unclassified	unknown		00_inbox/	LOW	GERALD Close ups Clearer
GLOBAL GOLDEN RULES (v2).md	86	creative-studio|life-systems|claude-mastery	code-snippet		40_knowledge/references/	HIGH	GLOBAL GOLDEN RULES (v2)
GO THROUGH EACH, MAKE SURE THE DOC HAS THE PROPER LINKS, CHECK THE….md	28	product-management	ai-prompt		40_knowledge/references/	HIGH	GO THROUGH EACH, MAKE SURE THE DOC HAS THE PROPER LINKS, CHECK THE…
Game Boy Color pixel art male yoga legend with wise expression, hand…-1.md	50	creative-studio|life-systems	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	Game Boy Color pixel art male yoga legend with wise expression, hand…
Generate an extremely detailed document on the Veo 3-1 prompting best….md	3	creative-studio|life-systems|claude-mastery	reference		40_knowledge/references/	HIGH	Generate an extremely detailed document on the Veo 3.1 prompting best…
Gerald.md	21	unclassified	unknown		00_inbox/	LOW	Gerald
Gifing-com.md	8	unclassified	unknown		00_inbox/	LOW	Gifing.com
GitHub profile bio.md	10	claude-mastery	personal		60_archive/apple-notes-personal/	HIGH	GitHub profile bio
